,Partner,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
5213,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,92.55,1614.7
1015,1,1,0,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),53.65,696.35
2249,0,1,0,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,0,Mailed check,70.5,829.3
4620,1,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.8,8332.15
3689,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,71.15,71.15
1476,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,36.8
5028,0,1,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.9,7624.2
5925,0,1,1,DSL,No,Yes,No,Yes,Yes,No,One year,1,Electronic check,68.7,1416.2
1351,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.45,250.8
956,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.45,1813.35
790,1,0,2,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),59.85,3590.2
3375,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.9,1389.35
6720,1,1,1,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,84.1,5979.7
1195,1,1,0,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,60.0,1259.35
6082,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,0,Electronic check,101.1,6039.9
6736,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.8,1411.9
203,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),78.3,1033.95
5806,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.6,35.85
3141,0,1,0,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,1,Credit card (automatic),95.1,180.25
1008,1,1,1,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.55,3204.65
2438,0,1,1,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.35,847.3
1429,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,24.45,1088.25
435,0,0,2,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,1,Credit card (automatic),44.45,1183.8
4529,0,1,0,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.2,447.9
3699,1,1,0,DSL,No,Yes,Yes,Yes,No,Yes,One year,0,Bank transfer (automatic),70.25,2198.9
819,1,1,1,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),88.0,5986.45
6897,0,1,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),80.4,4981.15
6263,0,0,2,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,54.2,1423.15
659,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.35,697.65
1333,0,0,2,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,1748.9
5364,0,1,1,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),90.7,1597.25
637,1,1,1,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),70.9,4911.35
2328,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),102.05,3452.55
245,0,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,75.35,273.4
5222,0,1,1,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),65.5,573.15
4544,1,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.55,80.55
5817,0,1,0,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,44.4,44.4
5904,0,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,One year,0,Electronic check,98.9,6838.6
253,0,1,1,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),83.7,2633.3
1118,1,1,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),105.25,4997.5
1155,1,1,1,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Credit card (automatic),76.1,5264.25
1742,0,1,0,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),87.15,183.75
6052,1,1,0,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Electronic check,78.45,3126.45
6840,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.3,19.3
2430,0,1,0,DSL,Yes,No,Yes,No,No,No,Two year,1,Mailed check,55.65,1653.85
3189,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.8,272.95
3944,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.25,172.35
1757,1,1,0,Fiber optic,No,Yes,No,Yes,No,No,Two year,1,Bank transfer (automatic),79.95,4362.05
3586,0,0,2,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,0,Mailed check,40.0,223.45
6162,1,0,2,DSL,No,Yes,No,No,Yes,Yes,Two year,1,Credit card (automatic),49.45,2907.55
501,1,1,1,Fiber optic,Yes,No,No,No,No,No,Two year,1,Credit card (automatic),80.7,5676
727,1,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.85,356.1
4880,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.55,1067.65
1696,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.3,264.8
6984,0,0,2,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),25.0,789.2
1123,1,1,0,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,1611
2071,1,1,1,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,0,Credit card (automatic),94.1,6302.8
6848,1,1,0,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,0,Credit card (automatic),69.0,147.8
1880,0,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,86.0,165.45
6473,0,1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,94.4
3774,1,1,1,DSL,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,80.85,4079.55
6714,0,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,0,Electronic check,100.75,1313.25
2734,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,208
2802,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.9,3351.55
1855,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.1,936.85
508,1,1,1,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,80.5,502.85
4323,0,1,1,Fiber optic,No,No,No,No,Yes,No,One year,0,Electronic check,84.05,2781.85
4084,0,1,0,Fiber optic,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,78.05,78.05
5093,0,1,1,DSL,No,No,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),66.15,3199
2870,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Electronic check,107.95,5969.85
6682,1,1,1,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,1,Mailed check,92.45,6460.55
4907,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,23.85,1672.1
4329,1,1,1,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.4,1607.2
6321,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.65,655.85
5116,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.4,70.4
5241,0,1,0,DSL,No,Yes,No,Yes,No,Yes,One year,1,Electronic check,64.2,3627.3
6994,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.45,993.15
6278,1,1,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),104.3,7188.5
4069,1,1,0,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,1,Electronic check,99.55,6668
6935,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.8,7245.9
285,0,1,1,Fiber optic,No,No,No,No,No,No,One year,1,Credit card (automatic),76.0,1783.6
1229,1,1,1,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Credit card (automatic),75.35,4729.3
4201,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.55,1463.45
3513,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.95,267.35
481,1,0,2,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),45.3,2145
945,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),74.4,215.8
566,1,1,0,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,0,Electronic check,101.9,1667.25
6946,0,0,2,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,0,Credit card (automatic),45.55,2108.35
489,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.35,74.35
104,1,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85
2822,1,1,1,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,0,Credit card (automatic),79.9,3326.2
5104,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.1,370.5
5422,1,1,0,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Credit card (automatic),62.65,4375.8
6436,0,1,0,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),79.6,5589.45
1469,0,1,1,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),98.8,3475.55
6564,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),20.05,95.55
6960,1,1,1,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,95.55,3930.6
1821,1,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,85.3,2661.1
600,0,1,0,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Credit card (automatic),74.55,1170.5
5694,1,1,0,DSL,No,No,No,Yes,No,No,One year,1,Mailed check,51.45,1758.9
4745,1,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.45,3414.65
6792,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,24.9,1334
650,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),69.55,222.3
7042,0,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),105.65,6844.5
3344,0,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.15,811.8
1586,1,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.05,7508.55
1963,0,1,0,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),70.7,553.4
2668,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75
1289,0,1,1,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Bank transfer (automatic),68.8,4111.35
6778,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.75,1567
690,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.45,20.45
5888,1,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.6,4783.5
4772,1,1,0,DSL,No,Yes,Yes,Yes,No,No,One year,0,Bank transfer (automatic),59.1,4134.7
3271,1,1,1,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,101.35,1218.55
2759,0,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.65,19.65
4557,0,0,2,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),54.9,3045.75
539,1,1,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),80.6,4946.7
640,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.4,1620.2
6976,1,1,0,DSL,Yes,Yes,Yes,No,Yes,No,Two year,1,Credit card (automatic),72.0,4284.2
5569,1,1,0,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,83.9,267.4
1791,1,1,0,DSL,Yes,Yes,Yes,No,No,No,One year,1,Mailed check,61.5,2722.2
